#数量
linebuff=20
#可以设置需要某种道具才能捕捉该宠物
#enemybase1.txt的宠物编号,道具ID1,...,道具ID15
524,2456,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#伊甸任务
961,20219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
953,20223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
962,20222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
777,20253,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
796,20247,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#金暴
812,20259,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1105,1690,1691,1692,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,1810,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#抓双头狼的限制
145,2236,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
146,2236,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
